fear,self_eff,intent
4.310000,5.150000,4.260000
4.260000,3.450000,3.220000
4.590000,6.010000,4.760000
4.900000,4.240000,3.970000
4.310000,4.270000,3.410000
5.820000,6.470000,5.040000
3.500000,3.960000,3.080000
5.350000,3.200000,2.830000
4.730000,3.360000,1.720000
5.360000,5.770000,4.850000
4.080000,5.270000,3.580000
4.300000,3.760000,2.640000
3.120000,4.270000,3.140000
5.130000,4.190000,3.170000
6.560000,4.330000,3.180000
3.760000,5.810000,4.310000
1.940000,4.530000,3.970000
4.040000,4.970000,3.940000
4.130000,5.210000,3.810000
4.680000,4.860000,5.170000
4.180000,4.380000,3.240000
7.060000,5.770000,4.800000
4.700000,4.920000,4.060000
6.170000,4.870000,4.320000
4.920000,5.280000,4.160000
2.390000,4.300000,2.990000
4.290000,5.270000,3.580000
5.350000,5.450000,4.090000
3.170000,4.530000,3.330000
5.210000,5.390000,3.900000
3.170000,4.400000,3.530000
4.840000,4.290000,2.770000
5.500000,5.010000,4.130000
2.850000,4.290000,3.150000
4.740000,4.140000,4.580000
3.000000,3.680000,2.410000
3.900000,5.270000,3.140000
7.530000,5.250000,3.870000
6.960000,5.230000,5.100000
5.360000,4.770000,4.760000
4.010000,5.060000,4.060000
4.030000,5.260000,4.410000
3.800000,5.370000,3.330000
3.510000,4.620000,2.860000
2.120000,4.460000,2.800000
2.500000,4.550000,2.800000
5.670000,5.770000,5.230000
3.220000,5.670000,3.650000
5.500000,5.800000,3.080000
2.930000,3.200000,3.090000
2.830000,5.570000,2.420000
4.960000,5.410000,3.790000
4.450000,6.740000,5.280000
3.720000,4.850000,2.980000
3.950000,5.360000,3.140000
4.230000,4.370000,3.140000
3.190000,4.220000,2.630000
5.050000,6.960000,5.360000
5.530000,5.630000,3.910000
4.480000,4.000000,3.630000
3.580000,3.760000,3.300000
5.320000,5.050000,4.540000
5.390000,3.980000,2.520000
4.250000,5.030000,3.770000
2.140000,2.980000,1.090000
4.910000,4.620000,3.400000
6.150000,5.470000,4.060000
4.310000,3.940000,3.360000
5.020000,3.660000,2.770000
3.120000,6.360000,4.540000
2.350000,3.490000,1.620000
4.090000,5.850000,3.370000
5.650000,6.180000,4.720000
4.810000,4.770000,4.770000
4.980000,4.180000,2.600000
2.290000,5.260000,3.010000
3.620000,5.380000,3.030000
3.800000,5.800000,3.840000
3.840000,4.310000,3.580000
4.150000,5.540000,3.560000
4.560000,4.220000,3.710000
2.040000,4.730000,2.390000
4.960000,4.650000,4.420000
5.220000,4.990000,4.340000
3.390000,4.150000,3.090000
3.840000,5.010000,4.030000
2.630000,3.240000,2.630000
4.180000,4.500000,3.710000
4.960000,5.770000,3.410000
2.590000,5.990000,3.870000
3.490000,4.710000,2.770000
5.350000,6.320000,4.420000
5.990000,3.720000,2.640000
4.690000,5.540000,4.380000
4.740000,4.510000,4.000000
3.800000,4.140000,3.120000
5.050000,5.820000,3.720000
4.540000,4.220000,2.760000
4.840000,4.530000,3.820000
7.430000,5.710000,5.430000
4.020000,5.770000,4.440000
5.470000,5.310000,4.500000
5.160000,4.710000,3.270000
5.590000,5.810000,5.370000
5.880000,5.930000,5.610000
4.450000,4.820000,3.360000
4.200000,5.350000,4.700000
5.840000,6.320000,5.650000
4.770000,4.790000,3.500000
6.820000,5.240000,3.770000
5.990000,5.750000,5.080000
3.960000,3.560000,2.520000
4.730000,4.760000,2.740000
5.670000,4.790000,2.730000
3.060000,3.550000,2.490000
3.630000,3.660000,2.440000
4.300000,4.440000,4.150000
4.350000,4.400000,2.570000
4.460000,4.770000,3.880000
4.800000,5.000000,4.530000
5.580000,5.040000,3.810000
2.850000,3.660000,3.120000
3.160000,3.560000,3.770000
5.010000,3.360000,2.320000
1.430000,3.950000,1.950000
3.460000,4.330000,2.820000
3.610000,5.150000,3.430000
4.060000,4.830000,3.140000
5.720000,4.930000,3.410000
5.950000,5.470000,4.600000
2.960000,4.890000,2.420000
5.760000,4.370000,3.400000
3.530000,4.940000,3.780000
4.230000,4.950000,4.160000
6.280000,5.020000,4.250000
4.360000,4.930000,4.070000
3.680000,4.970000,3.750000
5.100000,4.010000,3.490000
5.600000,4.010000,3.660000
6.220000,5.910000,5.990000
4.130000,4.630000,3.220000
3.630000,4.080000,3.840000
3.170000,4.310000,3.200000
3.720000,4.870000,2.900000
6.010000,6.100000,4.230000
4.700000,3.630000,2.660000
3.210000,3.400000,4.040000
7.700000,5.800000,5.080000
3.860000,3.060000,3.620000
3.290000,5.820000,3.560000
5.040000,3.360000,3.660000
3.550000,5.050000,3.200000
5.200000,5.430000,4.250000
3.500000,6.380000,5.010000
3.970000,5.160000,4.610000
4.510000,4.350000,1.940000
2.140000,4.020000,2.700000
3.250000,5.470000,4.630000
3.700000,4.840000,4.540000
5.990000,4.280000,3.360000
2.680000,3.810000,2.090000
3.610000,4.090000,2.640000
6.930000,4.310000,3.170000
6.460000,5.340000,4.320000
5.520000,4.990000,3.840000
4.640000,4.290000,2.990000
7.330000,4.810000,4.290000
2.760000,4.130000,2.680000
3.170000,5.520000,3.180000
4.700000,3.440000,3.400000
4.630000,4.620000,3.180000
6.600000,5.720000,4.260000
3.570000,4.920000,2.860000
5.820000,5.440000,3.150000
5.720000,5.100000,4.230000
4.620000,3.630000,3.410000
3.920000,4.540000,3.310000
2.880000,4.640000,2.660000
4.180000,4.500000,3.980000
6.340000,4.400000,3.550000
3.850000,4.970000,3.390000
5.540000,3.990000,3.080000
