stu_id	sch_id	byses	bygrads	par_inv	f1locus2	f1s64a	f1s64b	f1s64c	f1s64d	f1s64e	f1s64f	f1s64g	f1s64h	f1s64i	f1s64j	f1s64k	f1s64l	optimism	Opt_Res	Loc_Res
124966	1249	-.563	3.8	1.04426062955755	-.14	5	5	5	5	5	4	4	4	4	4	5	8	4.54545454545455	.126442341707153	-.377416499864373
124972	1249	.123	2.5	-.0880872798238811	-.58	4	3	3	3	3	4	4	4	4	4	4	4	3.63636363636364	-.41198134564215	-.549173454118173
175551	1755	.229	2.8	-.389984624004106	-.59	3	3	3	3	3	3	3	3	3	3	3	3	3	-1.05183218600518	-.577116969546678
180660	1806	.687	3.5	.198951566641	.07	5	4	4	4	4	5	4	3	4	5	3	4	4.09090909090909	-.185429777772691	-.117843339617896
180672	1806	.633	3.3	.975400036677415	-.85	4	4	3	3	3	4	4	3	3	5	3	4	3.54545454545455	-.822150904373104	-1.0910730982503
298885	2988	.992	2.5	-.157113451953591	.07	4	4	4	4	4	4	4	4	4	4	4	4	4	-.0668829042986175	.0469594339447767
604419	6044	-.282	2.3	-1.94228567112183	.07	5	2	4	4	5	5	4	5	4	5	4	3	4.27272727272727	.570554570601955	.365219437278548
605377	6053	1.572	2.5	-.476600132371998	-.14	5	5	4	3	4	4	4	3	3	5	4	4	4	-.0350374091254523	-.168565055076336
637529	6375	-.714	2	-.157113451953591	.07	5	5	4	4	4	4	4	4	3	4	4	4	4.09090909090909	.163482729890388	.24118038527538
644220	6442	.321	2.5	.135894613160381	.27	4	3	3	3	3	4	4	4	4	3	3	3	3.45454545454545	-.636790430344416	.261875992710458
664105	6641	1.224	3	1.1032057367108	-.15	5	5	5	5	5	5	5	5	5	5	5	5	5	.640214296447284	-.403121750963112
664186	6641	.964	4	-.0914708659681702	.67	5	5	5	5	5	5	5	5	5	5	3	3	4.81818181818182	.498196279343303	.421468840977322
664196	6641	1.27	2.8	.939195157540415	.54	5	5	5	4	4	4	4	4	4	4	3	4	4.18181818181818	-.120555933444492	.331228570144022
665696	6656	-.291	2.8	-.451217417184603	.05	5	4	4	4	4	4	4	3	4	4	4	4	4	-.024156422983294	.106527795265366
673838	6738	-.406	4	.493519057599139	.3	5	4	4	4	4	5	4	5	5	5	4	3	4.45454545454545	.0867769188423943	.0833993300070738
700005	7000	-.867	3	-.462394382278105	-1.07	5	5	5	4	5	5	5	4	4	4	5	5	4.63636363636364	.601242541278893	-1.00078756895609
700013	7000	-.58	2.3	-.951594410723777	.07	5	3	5	2	4	4	5	4	4	3	4	4	3.90909090909091	.05688358001889	.276072877441009
700015	7000	-.241	4	.0712782338355959	.51	5	3	4	3	3	4	3	4	3	3	3	4	3.45454545454545	-.850575522565049	.328703606172376
701189	7011	.373	3.5	1.17223190884051	.77	5	5	5	5	5	5	5	5	5	5	5	5	5	.576989148035834	.496080983142532
701670	7016	.967	4	.973112350650166	-.6	5	4	4	3	3	3	2	1	4	4	4	4	3.36363636363636	-1.12862175935762	-.967220119664093
701693	7016	-.011	2.3	.975400036677415	.95	5	5	5	5	5	5	5	5	5	5	5	5	5	.816701278859341	.901318688625489
702828	7028	-.428	1.6	-.812966546740791	.28	5	5	5	5	5	5	4	3	4	4	4	3	4.45454545454545	.688330343013621	.562624632902052
708902	7089	-.163	4	.554420692280486	.07	5	5	5	5	5	5	5	5	5	3	3	3	4.63636363636364	.250440365855676	-.170589403433475
708923	7089	-.168	2.8	-.668667410586267	.37	5	4	5	5	4	3	5	3	4	5	4	5	4.27272727272727	.279534049361023	.442015838767775
