       Grades    ParEd     Income 
         85        16        20   
         78        15        56   
         70        13        36   
         91        15        96   
         78        13        38   
         73        15        30   
        100        17        86   
         83        15        45   
         86        18       111   
        100        18       163   
         80        15        90   
         72        15         0   
         65        12        19   
         92        15        68   
         73        16        24   
         72        16        59   
         70        11        57   
         82        16        25   
         99        18        54   
         65        11        10   
         85        13        61   
         73        19       129   
         79        13        20   
         79        12        25   
         78        16        90   
         82        16        41   
         63        12        43   
         80        12        21   
         87        11        36   
         79        13        48   
         94        15        25   
         61        14        75   
         88        16        67   
         69        12        18   
         89        15        20   
         83        12        45   
         64        19        38   
         73        17        71   
         91        15        53   
         79        10        51   
         80        16        60   
         81        13        40   
         88        17        90   
         75        12        32   
         86        14        73   
         82        14        66   
         80        15        20   
         67        13        13   
         78        14        32   
         88        15        51   
         74        13        16   
         81        14        56   
         81        12        25   
         91        18        85   
         88        16        55   
         90        11        33   
         75        11         0   
         90        14        68   
         83        14        38   
         73        14        46   
         94        17        66   
         84        14        18   
         86        14        30   
         71        14        26   
         85        16        56   
         87        17        63   
         72        12        16   
         82        15        59   
         93        13        61   
         68        11        52   
         72        13        15   
         80        14       101   
         73        14        17   
         96        14        42   
         69        11        13   
         78        13        46   
         79        13        26   
         89        16        80   
         72        11         0   
         75        13         0   
         80        14        59   
         93        14        58   
         80        14        17   
         81        18        65   
         84        11         0   
         82        14         0   
         83        16        23   
         61        13        21   
         77        12        53   
         76        10        14   
         72        13        29   
         70        12        70   
         70        13        35   
         73        16        33   
         80        13        44   
         91        17         6   
         76        15        23   
         76        13        24   
         74        13        49   
         95        16         3       
         87        13         5       
         78        11         0   
         77        11         9   
         74        12        65   
         79        17        57   
         79        12        19   
         80        11        35   
         87        16        50   
         73        15        27   
         98        18       100   
         74        14        44   
         87        14         2   
         93        16        79   
         88        14        99   
         90        13        51   
         87        14        52   
         69        15        81   
         79        14        30   
         76        14        63   
         86        13        24   
         79        13        46   
         87        16        70   
         95        13        51   
         76        14        87   
         76        13        79   
         85        15        48   
         78        17        47   
         79        15        71   
         77        12        16   
         79        16        49   
         89        14        99   
         94        17        62   
         67        12        54   
         77        11         0   
         68        14         0   
         81        14        23   
         90        15        54   
         90        14        34   
         74        13        28   
         86        13        47   
         66        12        15   
         75        12        18   
         77        13        13   
         83        12        33   
         82        14        41   
         84        13        65   
         94        16        41   
         84        14        12   
         84        13        49   
         95        13        46   
         91        15        89   
         76        15        39   
         96        17        58   
         74        12         4   
         85        17        62   
         75        16        73   
         85        14        39   
         74        14        61   
         83        14        36   
         85        12        44   
         79        18       112   
         71        11        60   
         88        18        99   
         81        14        33   
         95        16        58   
         98        12         0   
         70        14        39   
         79        13        63   
         80        15        49   
         86        16        60   
         71        14        49   
         92        15        25   
         97        18        21   
         84        17        91   
         94        15        50   
         92        18        61   
         86        15        78   
         65        12         0   
         78        12        14   
         79        13        45   
         80        10         0   
         75        12         3   
         71        11         7   
         91        14        73   
         77        14        14   
         80        13        39   
         81        15         7   
         83        14        17   
         58        13        55   
         73        14        43   
         89        14        33   
         77        14        41   
         76        13        47   
         88        12        60   
         72        12         0   
         81        18        49   
         67        15         9   
         73        13        58   
         75        15        57   
         80        16        42  
