VERBAL	VIS_MEM	TRAINING
6.81	53.06	.00
2.98	62.45	.00
-3.14	44.96	.00
-7.20	38.72	.00
20.03	66.72	.00
16.96	39.27	.00
5.78	48.37	.00
-6.33	43.83	.00
9.19	58.14	.00
-7.13	65.00	.00
-11.30	44.13	.00
-4.41	38.74	.00
-5.78	49.10	.00
5.50	41.92	.00
-18.78	41.23	.00
14.48	43.68	.00
-.77	64.19	.00
-8.38	44.29	.00
-5.02	57.45	.00
-11.53	40.49	.00
-17.04	47.02	.00
-10.02	42.41	.00
7.83	55.76	.00
2.24	56.92	.00
-7.29	51.05	.00
-4.94	46.00	.00
-12.47	35.63	.00
-1.84	59.52	.00
-13.26	43.68	.00
11.08	51.30	.00
6.90	46.54	.00
8.09	52.17	.00
-11.28	32.70	.00
-6.67	41.58	.00
-11.10	28.89	.00
6.81	33.72	.00
16.42	68.39	.00
7.53	57.22	.00
-4.06	53.87	.00
20.55	68.60	.00
15.52	57.71	.00
1.08	62.98	.00
-7.42	40.28	.00
-4.39	59.84	.00
1.82	64.15	.00
1.10	53.97	.00
-11.97	40.41	.00
7.50	53.32	.00
9.66	52.85	.00
7.65	55.77	.00
-6.25	41.92	1.00
6.24	38.12	1.00
3.58	36.57	1.00
-14.69	45.39	1.00
-22.25	48.64	1.00
1.12	39.12	1.00
1.97	42.82	1.00
1.41	44.73	1.00
8.00	43.56	1.00
5.46	42.04	1.00
6.01	37.85	1.00
-12.43	44.51	1.00
3.31	33.72	1.00
-1.21	43.09	1.00
-2.34	32.69	1.00
20.06	31.14	1.00
7.87	36.52	1.00
2.26	45.13	1.00
9.68	33.59	1.00
5.20	33.89	1.00
6.86	36.05	1.00
-17.68	47.00	1.00
-13.40	39.27	1.00
-4.79	34.38	1.00
3.69	37.52	1.00
18.06	37.53	1.00
-1.00	31.01	1.00
-8.06	53.46	1.00
5.67	36.62	1.00
-14.74	42.05	1.00
-15.17	41.66	1.00
-5.03	40.80	1.00
4.14	38.88	1.00
-7.55	37.91	1.00
12.56	38.70	1.00
-5.33	40.21	1.00
-.12	36.96	1.00
12.45	39.17	1.00
11.05	36.53	1.00
-11.60	45.26	1.00
-13.37	45.76	1.00
-16.88	47.75	1.00
5.75	36.49	1.00
17.49	44.76	1.00
-1.80	47.74	1.00
4.76	32.25	1.00
-7.15	44.51	1.00
.34	38.42	1.00
11.61	40.10	1.00
6.27	36.24	1.00
