Girl	CBM	CAT
0	51	718.121757124811
0	110	668.40624820888
0	94	716.468636118174
0	88	700.556796804666
0	2	684.622691000402
0	4	644.411929574907
0	91	633.609111644775
0	224	669.585714890361
0	100	630.468544021249
0	91	695.710280035138
0	89	658.207860978246
0	34	696.311422463059
0	210	659.465918813646
0	53	716.230112101734
0	82	712.893783737868
0	7	649.82088317439
0	9	668.378084688932
0	181	722.968212604225
0	163	705.084415499717
0	152	646.153236011565
0	114	617.877878667712
0	53	690.323096282631
0	216	710.911668912023
0	94	728.417931985408
0	112	706.929780605584
0	205	689.885108588636
0	98	670.148981762528
0	91	667.039430048764
0	160	715.477079626918
0	46	665.808676316291
0	112	695.876645136029
0	185	743.396494333446
0	18	610.312233219892
0	93	701.283408331722
0	59	626.987665276527
0	91	616.493884176463
0	35	644.685341500491
0	191	669.508656941801
0	205	684.694035636634
0	29	705.220853687376
0	110	620.22717891708
0	140	709.864567539841
0	114	635.532976863831
0	140	636.199138186127
0	121	697.884659076929
0	91	614.736454058886
0	169	716.219672058076
0	117	648.909104442
0	117	647.36622031197
0	133	637.584954420328
1	76	646.122642863542
1	19	668.413879249245
1	171	665.531386058778
1	184	697.260321166366
1	152	677.921318959445
1	86	617.839442841709
1	111	638.164704047143
1	244	773.53016172722
1	101	640.477766484022
1	110	607.488633342087
1	183	672.566932812333
1	179	704.992526613176
1	80	657.935738623142
1	217	739.756253723055
1	156	643.594266172498
1	101	608.691119007766
1	127	658.005684547126
1	187	678.787648480386
1	182	690.233573194593
1	31	568.4121055305
1	214	735.078099120408
1	112	601.470163341612
1	155	639.463670406491
1	129	640.102190665901
1	66	654.264457184821
1	174	719.344681959599
1	110	692.376114357263
1	90	670.342956319451
1	38	565.749530885369
1	169	672.811294879764
1	113	624.934443719685
1	93	674.645846411586
1	91	692.395811542869
1	35	580.366631489247
1	110	629.562766946852
1	39	643.965432692319
1	51	674.808591488749
1	150	630.73760927096
1	166	684.923610124737
1	106	608.073984213173
1	151	727.466999251395
1	213	709.573954809457
1	136	641.56869379431
1	168	702.35635207966
1	69	652.754276759923
1	83	684.839423391968
1	83	590.318023767322
1	122	650.815763462335
1	145	681.504114702344
1	72	678.194820422679
