Homework	Math
2	63.61
1	47.65
1	43.44
1	56.19
4	47.36
1	45.25
3	42.13
3	44.85
1	59.89
2	51.28
6	52.37
4	60.17
2	60.97
4	60.72
1	50.95
3	31.52
1	36.6
4	63.35
3	50.33
1	61.37
4	54.15
3	38.45
0	30.94
2	53.42
0	40.26
1	54.89
1	31.48
5	60.87
2	62.8
2	52.73
0	52.88
5	55.35
3	51.3
2	35.62
2	58.35
2	41.07
2	35.14
2	58.42
2	43.68
2	45.11
4	52.02
1	41.33
1	43.85
3	67.39
0	47.63
2	62.05
2	40.41
2	36.1
1	51.76
5	48.97
2	47.41
4	58.32
1	43.85
4	62.49
3	62.08
0	59.72
4	42.37
3	51.32
2	56.18
1	39.44
4	47.33
1	38.38
2	46.5
1	54.45
2	42.26
3	57.22
3	47.72
1	54.19
2	40.34
2	48.55
2	39.84
2	44.82
2	65.46
3	64.18
3	51.57
1	37.67
2	50.27
5	61.03
4	60.2
1	63
5	65.42
2	35.57
2	55.65
2	49.8
1	51.39
1	67.47
1	46.85
1	38.51
3	46.06
1	42.44
2	57.52
2	62.01
3	40.32
2	64.02
1	36.79
2	54.24
3	51.81
7	34.97
3	48.1
7	49
2	58.63
2	53.2
1	58.61
2	38.17
7	51.43
4	35.62
2	50.05
2	54.51
7	44.48
3	36.23
2	57.04
1	39.15
7	39.39
2	47.12
0	48.49
1	65.6
2	36.54
4	53.55
2	36.99
2	55.45
1	44.38
3	54.6
2	56.42
3	49.74
1	51.97
2	34.89
3	46.19
0	62.34
2	58.39
1	65.77
2	58.91
3	67.16
1	38.64
1	40.27
2	58.39
1	56.83
1	56.58
2	41.06
1	66.41
5	62.32
1	41.83
3	45.22
0	32.49
3	47.11
2	45.58
4	54.59
2	39.48
1	55.53
1	48.34
1	62.59
2	40.78
0	33.83
5	47.9
1	63.72
4	60.4
1	54.67
1	52.23
4	63.27
3	45.69
3	59.01
2	47.68
7	58.95
2	37.88
3	59.36
4	48.69
1	63.27
4	53.37
0	52.13
3	60.68
1	61.14
1	48.51
2	64.12
3	48.14
2	61.92
5	63.92
1	48.71
1	39.81
1	38.37
1	37.25
2	47.9
3	59.95
7	65.75
4	46.1
1	36.19
2	46.83
2	50.17
2	52.15
1	55.18
1	55.49
1	54.98
1	33.91
4	63.31
0	36.2
2	51.34
3	32.4
2	45.69
1	44.18
1	57.47
1	41.82
0	39
2	55.48
1	36.61
2	46.3
1	40.39
1	36.72
0	57.98
1	44.33
2	51.55
1	34.08
1	46.48
4	53.53
5	48.56
1	46.96
1	53.12
4	53.51
3	57.46
3	60.56
2	61.68
2	57.52
2	51.01
2	65.44
3	36.64
3	37.52
3	63.15
5	50.29
3	65.7
1	56.36
1	38.8
5	58.61
1	45.27
2	54.95
2	47.75
2	41.13
0	46.87
1	41.7
3	56.84
4	59.5
2	65.6
2	48.61
2	53.9
1	40.87
2	53.96
0	42.15
2	50.98
1	42.99
1	52.39
0	53.75
2	56.96
7	39.72
6	61.61
1	42.99
2	45.08
2	40.84
2	48.61
3	30.18
1	60.65
2	37.13
2	48.9
5	61.93
5	57.01
2	37.89
3	37.56
3	52.2
3	42.65
2	43.99
2	55.22
5	53.55
1	39.3
1	35.4
2	49.7
2	47.06
5	47.68
2	30.18
1	50.07
2	40.02
1	49.11
3	38.34
0	58.29
3	36.81
2	38.33
2	47.51
3	58.75
3	55.24
1	56.24
1	49.44
2	49.92
1	60.66
2	50.9
5	54.48
2	56.85
3	43.77
2	34.46
3	44.38
1	43.28
2	53.25
2	43.81
1	38.98
1	58.06
3	55.5
3	62.06
1	50.52
3	58.94
3	48.28
1	50.74
1	41.05
3	57.04
3	51.09
1	55.55
1	42.81
5	50.77
4	58.84
2	58.11
1	57.41
4	52.38
7	58.01
2	44.92
0	36.02
5	54.86
1	63.07
2	49.49
2	43.49
3	64.37
1	44.27
0	32.05
1	47.3
1	45.5
5	66.83
2	64.85
7	55.88
5	57.08
7	62.85
3	64.04
2	63.16
5	60.68
1	52.23
5	66.3
6	60.25
1	43.76
2	47.91
1	49.85
4	65.12
2	66.43
1	64.7
4	63.35
2	53.71
3	50.71
2	47.22
3	46.5
3	48.27
4	64.04
2	57.58
1	52.56
1	55.03
2	41.59
3	47.98
2	48.28
6	52.5
3	62.6
1	65.39
3	65.03
2	66.55
2	43.96
3	43.5
0	32.09
1	58.11
2	61.01
7	53.45
2	54.01
2	55.5
3	61.15
3	55.18
4	59.66
2	57.75
7	41.9
1	36.9
4	61.95
3	43.88
4	52.76
1	42.65
2	65.47
3	68.18
2	61.38
1	45.62
5	64.26
2	51.83
1	54.2
6	57.69
3	54.69
4	53.03
4	35.58
2	60.09
1	68.18
1	55.01
3	49.77
4	58.58
1	33.9
7	43.33
4	54.51
5	63.61
4	57.07
2	33.83
1	42.76
1	48.7
2	64.22
2	61.37
5	30.64
2	34.82
2	41.43
2	56.68
1	56.42
4	52.44
2	55.2
4	65.62
3	53.13
1	37.11
1	52.29
4	61.75
4	66.94
2	62.3
2	61.09
2	56.43
3	41.56
2	67.13
3	48.94
2	58.56
3	43.47
1	53.03
1	43.24
0	33.05
3	45.52
3	54.72
0	32.6
1	35.37
2	40.63
0	42.96
3	59.68
2	45.18
1	60.85
3	46.03
1	46.94
4	62.79
3	52.97
5	63.2
3	49.97
3	63.59
3	62.94
6	56.2
2	52.81
1	57.27
3	60.02
0	34.71
2	48.2
2	59.41
2	52.07
2	44.16
7	65.9
2	40.46
2	43.15
5	65.43
6	56.08
3	67.11
0	48.62
3	56.12
1	63.08
2	61.45
1	43.59
3	67.27
5	45.9
3	53.94
1	43.25
3	66.14
6	59.65
0	59.16
3	61.7
2	66.88
2	50.85
1	43.31
2	56.61
1	66.55
5	65.92
4	59.64
7	54.29
3	64.79
4	60.19
1	54.97
4	63.65
3	59.79
2	66.3
2	61.04
1	64.6
5	64.38
2	61.77
7	68.18
2	68.18
7	67.47
3	63.07
4	41.12
3	33.84
1	60.65
2	64.93
