3.14	3.24	2.89	3.08	2.69	3.03	3.35	2.76	3.4257	3.4026	3.3743	3.2997	3.0791
0.746	0.744	0.759	0.764	0.827	0.914	0.798	0.87	0.55848	0.66517	0.65878	0.65858	0.70211												
1
0.266	1											
0.302	0.217	1										
0.325	0.293	0.344	1									
0.223	0.117	0.318	0.294	1								
0.213	0.2	0.334	0.335	0.656	1							
0.327	0.312	0.33	0.366	0.3	0.389	1						
0.193	0.414	0.177	0.245	0.137	0.216	0.353	1					
0.198	0.097	0.292	0.262	0.278	0.279	0.312	0.092	1				
0.193	0.202	0.183	0.21	0.154	0.226	0.274	0.119	0.253	1			
0.163	0.164	0.252	0.259	0.132	0.168	0.299	0.11	0.314	0.452	1		
0.21	0.118	0.322	0.301	0.283	0.277	0.301	0.114	0.479	0.374	0.309	1	
0.203	0.096	0.129	0.394	0.182	0.205	0.216	0.067	0.319	0.256	0.237	0.327	1
3.04	3.28	2.91	3.04	2.41	2.65	3.25	2.78	3.1541	3.3175	3.302	3.1635	2.9283
0.815	0.715	0.716	0.782	0.799	0.868	0.755	0.867	0.62288	0.64114	0.60361	0.66134	0.68346
1												
0.265	1											
0.299	0.222	1										
0.354	0.258	0.482	1									
0.267	0.181	0.395	0.344	1								
0.241	0.211	0.422	0.294	0.593	1							
0.237	0.157	0.36	0.349	0.294	0.366	1						
0.211	0.456	0.294	0.333	0.216	0.178	0.24	1					
0.254	0.063	0.276	0.238	0.35	0.392	0.361	0.031	1				
0.172	0.194	0.199	0.161	0.194	0.267	0.368	0.146	0.473	1			
0.102	0.153	0.22	0.182	0.174	0.236	0.309	0.086	0.382	0.437	1		
0.245	0.113	0.303	0.31	0.32	0.415	0.433	0.114	0.637	0.486	0.41	1	
0.184	0.126	0.277	0.426	0.282	0.243	0.232	0.073	0.32	0.326	0.361	0.37	1
