10.181	10.104	9.591	9.656	9.681	10.279	10.078	10.499	10.305	10.636	9.591	9.851	9.987	10.156
2.997	2.881	2.69	2.773	2.838	2.894	2.965	2.983	3.142	2.876	2.841	2.619	3.029	2.908
1													
0.752	1												
0.26	0.287	1											
0.385	0.391	0.321	1										
0.334	0.287	0.258	0.412	1									
0.347	0.405	0.385	0.318	0.346	1								
0.298	0.315	0.274	0.351	0.235	0.346	1							
0.545	0.531	0.356	0.404	0.385	0.413	0.287	1						
0.431	0.469	0.304	0.751	0.504	0.395	0.413	0.5	1					
0.497	0.576	0.4	0.393	0.417	0.519	0.326	0.843	0.507	1				
0.284	0.242	0.311	0.222	0.238	0.303	0.134	0.431	0.287	0.451	1			
0.401	0.493	0.42	0.425	0.389	0.395	0.235	0.507	0.486	0.501	0.419	1		
0.433	0.443	0.356	0.684	0.495	0.331	0.408	0.476	0.72	0.45	0.316	0.509	1	
0.351	0.373	0.396	0.417	0.306	0.458	0.534	0.398	0.448	0.405	0.288	0.36	0.418	1
9.959	10.041	10.329	9.986	10.164	9.548	9.671	9.78	10.384	9.767	10.336	10.342	10.13	9.747
2.801	3.363	3.085	3.049	2.606	3.015	2.863	2.939	3.36	2.737	3.086	2.588	3.02	2.826
1													
0.8	1												
0.301	0.281	1											
0.382	0.431	0.473	1										
0.319	0.287	0.491	0.543	1									
0.233	0.289	0.399	0.384	0.345	1								
0.187	0.228	0.265	0.285	0.2	0.312	1							
0.481	0.521	0.436	0.416	0.336	0.411	0.261	1						
0.467	0.548	0.406	0.761	0.533	0.404	0.284	0.47	1					
0.462	0.536	0.451	0.415	0.352	0.506	0.276	0.854	0.503	1				
0.274	0.257	0.487	0.32	0.371	0.432	0.312	0.328	0.365	0.406	1			
0.363	0.296	0.586	0.474	0.522	0.353	0.298	0.403	0.447	0.404	0.437	1		
0.425	0.471	0.468	0.765	0.571	0.45	0.326	0.507	0.789	0.551	0.349	0.498	1
0.162	0.28	0.322	0.36	0.296	0.342	0.517	0.335	0.422	0.409	0.325	0.294	0.427	1
