stu_id,sch_id,sstratid,sex,race,ethnic,bys42a,bys42b,bys44a,bys44b,bys44c,bys44d,bys44e,bys44f,bys44g,bys44h,bys44i,bys44j,bys44k,bys44l,bys44m,bys48a,bys48b,bys79a,byfamsiz,famcomp,bygrads,byses,byfaminc,parocc,bytxrstd,bytxmstd,bytxsstd,bytxhstd,bypared,bytests,par_inv,f1s36a1,f1s36a2,f1s36b1,f1s36b2,f1s36c1,f1s36c2,f1s36d1,f1s36d2,f1s36e1,f1s36e2,f1s36f1,f1s36f2,f1s39a,f1s39b,f1s39c,f1s39d,f1s45a,f1s45b,f1s62a,f1s62b,f1s62c,f1s62d,f1s62e,f1s62f,f1s62g,f1s62h,f1s62i,f1s62j,f1s62k,f1s62l,f1s62m,f1s64a,f1s64b,f1s64c,f1s64d,f1s64e,f1s64f,f1s64g,f1s64h,f1s64i,f1s64j,f1s64k,f1s77,f1s78a,f1s80aa,f1s82,f1s83,ffugrad,f1cncpt1,f1cncpt2,f1locus1,f1locus2,f1txrstd,f1txmstd,f1txsstd,f1txhstd
124966,1249,1,2,4,1,3,4,2,4,4,1,1,3,4,1,3,4,1,4,3,5,5,3,3,1,3.8,-0.563,7,27.41,65.468,59.514,64.679,67.761,3,64.3555,1.04426063,1,2,1,1,1,0,1,0, , ,1,1,3,7,5,6,1,2,2,3,3,2,2,3,3,2,3,3,2,3,2,5,5,5,5,5,4,4,4,4,4,5,0,3,0,5,3,5.25,-0.33,-0.1,0.03,-0.14,48.29,63.61,57.73,61.71
124972,1249,1,1,4,1,4,5,1,3,3,2,2,3,3,2,2,2,2,3,2,5,5,1,5,1,2.5,0.123,10,56.33,50.577,47.954,49.094,46.9,3,48.63125,-0.08808728,0,1,0,1,0,1,0,1, , ,0,1,3,3, ,3,4,4,2,2,3,2,2,2,3,2,2,2,2,3,2,4,3,3,3,3,4,4,4,4,4,4,0,2,2,6,3,3,-0.33,-0.45,-0.43,-0.58,36.05,47.65,53.36,46.98
175551,1755,1,2,3,0, ,3,2,3,3,1,2,3,3,1,3,4,2,2,3,6,6,1,7,1,2.8,0.229,12,66.18,59.105,42.799,49.094,47.883,3,49.72025,-0.389984624,1,1,1,1,0,0,1,1, , ,1,1,2,3, , ,5,5,1,2,2,2,2,3,3,1,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,0,0,0,4,2,2.5,0.42,0.33,-0.45,-0.59,55.13,43.44,46.39,50.48
180660,1806,1,1,4,1,2, ,1,4,4,1,1,3,3,1,3,2,2,4,4,5, ,1,4,6,3.5,0.687,10,66.18,44.35,49.205,35.512,57.276,4,46.58575,0.198951567,1,1,1,1,1,1,1,1, , ,1,1,8,6,6,6,3,4,2,3,3,2,1,3,3,1,2,2,2,3,3,5,4,4,4,4,5,4,3,4,5,3,0,1,0,2,2,6.5,0.43,-0.02,0.03,0.07,42.54,56.19,40.14,56.48
180672,1806,1,2,4,1,2,3,1,4,3,2,2,3,3,1,1,4,2,4,3,6,6,3,4,1,3.3,0.633,11,66.18,63.303,52.519,51.811,52.143,4,54.944,0.975400037,3,4,1,2,1,2,1,1, , ,3,2,3,7,4,3,3,5,1,2,3,2,3,2,2,1,3,3,3,2,3,4,4,3,3,3,4,4,3,3,5,3,0,2,0,5,2,4.25,0.02,-0.09,-0.88,-0.85,52.96,47.36,46.01,55.32
298885,2988,2,1,3,0,5,4,2,3,3,2,2,3,3,2,2,2,2,4,3,5,5,1,4,1,2.5,0.992,10,81.87,31.761,44.493,39.515,38.272,5,38.51025,-0.157113452,4,1,1,1, , ,1,1,1,1,2,1,5,8,5, , , ,2,3,3,2,2,3,3,2,2,3,2,3,3,4,4,4,4,4,4,4,4,4,4,4,0,2,0,5,2,6,-0.33,-0.28,0.03,0.07,44.24,45.25,41.88,39.67
604419,6044,6,2,4,1,4,5,2,3,2,2,2,3,3,2,2,2,2,3,2,4,4,1,7,1,2.3,-0.282,12,25,40.018,39.927,46.949,45.153,2,43.01175,-1.942285671,7,3,3,2,3,1,3,2,3,1,3,1,6,4,4,3,2,6,1,3,3,2,2,3,3,2,2,2,2,3,3,5,2,4,4,5,5,4,5,4,5,4,0,0,0,1,1,4.25,0.06,-0.23,0.03,0.07,42.76,42.13,41.05,41.97
605355,6053,6,2,4,1,2,3,1,4,3,1,1,3,4,1,2,4,1,3,3,6,6,1,5,1,2.8,0.367,10,66.18,67.499,57.158,55.814,53.89,3,58.59025,0.973112351, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.22,0.97,1.41,0.76,62.31,54.28,53.1,62.92
605377,6053,6,2,4,1,3,5,2,2,3,2,2,3,3,2,2,2,2,3,2,5,6,1,3,1,2.5,1.572,13,81.87,46.11,47.807,51.096,41.767,6,46.695,-0.476600132,3,3,1,1, , ,1,1,1,2,1,1,6,7,3,4,3,6,2,3,3,2,2,3,3,2,3,2,2,3,2,5,5,4,3,4,4,4,3,3,5,4,0,2,0,2,2,5,-0.33,-0.27,0.03,-0.14,56.72,44.85,46.15,49.24
637529,6375,6,1,3,0,5,6,2,2,3,2,2,3,3,2,2,3,2,3,3,5,5,1,2,4,2,-0.714,10,20.26,61.136,57.305,55.672,46.9,3,55.25325,-0.157113452,1,1,1,1, , ,1,1,1,1,0,1,3,5,7, ,6,6,2,3,3,1,2,3,3,2,3,3,2,3,3,5,5,4,4,4,4,4,4,3,4,4,0,1,0,5,2,5,0.06,0.12,0.03,0.07,64.11,59.89,56.14,55.32
644220,6442,6,2,4,1,5,6,2,3,2,2,1,2,3,3,2,2,2,3,3,5,5,3,5,2,2.5,0.321,11,66.09, , , , ,3, ,0.135894613,1,2,1,1, , ,0,1,1,1,1,1,7,5,2, ,4,4,2,3,3,2,1,3,3,2,2,2,2,3,4,4,3,3,3,3,4,4,4,4,3,3,0,1,0,1,2,4.666666667,0.07,-0.22,0.03,0.27,40.15,51.28,43.05,43.35
644230,6442,6,1,4,1,2,0,2,3,3,2,3,3,2,2,2,3,3,3,3,6,6,1,5,1,3,-0.621,10,56.33,52.744,49.574,62.534,47.009,2,52.96525,-0.523461596, , ,1,1,1,1, ,1, ,1, ,1,3,4,8,5,2,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5, , , , ,57.4,41.55,51.55,54.43
664105,6641,6,1,4,1,0,5,1,3,2,1,2,3,3,1,2,2,3, ,2,6,6,2,5,1,3,1.224,14,81.87,40.018,51.341,44.52,48.647,6,46.1315,1.103205737,1,6,0,1,0,0,0,0, , ,0,3,6,8,8,6,2,4,1,4,3,3,1,2,3,2,2,2,2,3,2,5,5,5,5,5,5,5,5,5,5,5,0,0,0,5,2,7,0.08,-0.22,-0.43,-0.15,38.62,52.37,43.87,49.45
664186,6641,6,1,4,1,1,2,1,3,4,1,1,4,4,1,4,4,1,4,4, ,5,1,5,1,4,0.964,14,81.87,48.412,58.41,55.814,47.119,6,52.43875,-0.091470866,2,4,2,3,1,3,2,3,2,2,1,2,8,8,8,8,2,2,1,4,4,2,1,4,4,3,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,3,0,1,0,2,1,8,0.11,0.69,1.41,0.67,57.68,60.17,63.12,57.55
