id,pho_1,pho_2,pho_3,sex,age,emp_q20,emp_q22,emp_q23,emp_q24,emp_q25,emp_q26
1,95,95,95,1,2004,80,NA,80,80,70,70
2,58,62,NA,0,2003,62,58,59,57,56,59
3,100,50,50,NA,2003,90,51,51,51,52,100
4,77,77,64,1,2004,66,72,88,82,67,69
5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,100,75,100,0,2004,100,60,70,55,70,90
7,77,94,86,1,2004,91,93,85,91,73,65
8,90,68,20,0,2004,67,66,31,67,63,38
9,100,79,77,0,2003,61,51,30,51,51,29
10,75,50,64,1,2003,80,80,70,65,70,75
11,65,94,56,1,203,62,86,58,47,62,61
12,67,92,67,1,2004,74,67,85,72,65,77
13,90,55,64,1,2004,90,81,81,84,86,61
14,100,78,68,1,2004,73,60,84,89,81,50
15,50,73,36,1,2003,100,100,100,100,100,80
16,74,62,61,1,2003,60,63,57,52,59,60
17,94,76,35,1,2003,100,100,70,84,88,97
18,75,80,70,1,2004,60,65,60,70,60,70
19,50,50,50,1,2003,50,53,51,51,51,50
20,65,65,65,1,2003,80,80,75,75,75,85
21,17,10,17,1,20004,0,6,1,0,4,2
22,0,0,0,0,2004,100,100,100,100,100,100
23,0,0,0,1,2004,80,90,50,50,70,60
24,50,50,25,1,2003,40,25,10,40,40,30
25,79,73,73,0,2004,72,72,57,69,68,59
26,77,77,57,1,2003,57,63,65,58,66,62
27,100,100,70,1,2004,100,90,70,80,90,100
28,75,78,23,1,2004,100,100,78,81,100,98
29,76,74,91,1,2004,78,72,79,70,82,84
30,75,65,65,1,2003,55,90,60,80,70,70
31,0,0,0,1,2003,75,100,100,100,80,93
32,65,75,80,1,2003,97,90,70,85,90,90
33,20,24,54,1,2004,91,85,60,95,85,78
34,28,26,25,1,2004,70,70,72,56,69,83
35,35,50,58,1,NA,91,100,60,100,75,41
36,50,65,50,1,2003,95,90,99,90,95,85
37,12,31,6,0,2004,80,69,75,82,67,62
38,99,100,95,1,2004,100,100,95,100,100,95
39,100,100,100,0,2003,90,88,91,91,87,89
40,100,100,92,1,2004,89,80,90,85,88,88
41,38,31,32,0,2004,62,69,35,68,80,73
42,100,85,100,1,2003,80,100,80,70,70,50
43,90,88,30,1,507,100,78,62,100,78,94
44,75,80,75,1,2003,87,90,95,97,90,91
45,75,80,100,0,2003,100,80,0,80,90,100
46,50,50,50,1,2003,100,100,85,100,100,100
47,100,100,99,1,2004,84,83,99,99,99,100
48,50,77,61,1,2004,58,57,59,59,56,55
49,100,81,27,0,2004,69,67,72,72,65,33
50,70,60,75,0,2003,90,90,75,85,80,70
51,61,50,27,1,2004,59,60,78,71,60,55
52,100,82,85,1,723,87,83,89,100,88,100
53,98,89,0,0,2003,51,100,100,100,100,100
54,100,100,100,1,2004,100,100,100,100,100,100
55,60,75,60,1,2004,40,50,50,50,50,50
56,100,100,100,1,2003,100,99,95,100,99,100
57,82,68,86,1,2004,80,83,71,71,79,69
58,0,9,50,1,2003,90,80,71,70,90,52
59,76,86,64,0,709,100,93,67,94,79,86
60,57,77,59,0,2004,62,98,68,70,62,67
61,100,13,100,0,2004,56,65,36,55,100,20
62,85,90,75,0,2004,50,70,60,70,65,65
63,24,8,0,0,2003,100,69,59,65,74,100
64,82,68,78,0,2003,62,72,43,98,73,86
65,75,100,75,1,2004,85,80,58,76,83,70
66,100,100,100,1,2003,100,95,30,60,60,60
67,100,100,100,1,2003,93,90,36,58,66,86
68,75,65,50,1,2003,90,90,100,70,90,75
69,75,80,75,0,2004,70,60,65,70,71,70
70,100,94,87,1,2004,67,100,100,82,75,75
71,65,75,56,1,2004,68,60,56,58,51,51
72,90,96,82,1,2003,97,100,97,96,96,98
73,75,100,65,1,2003,100,70,70,100,80,70
74,90,90,70,1,2003,80,84,62,78,68,80
75,9,5,25,0,2003,61,83,48,44,48,32
76,77,89,67,1,2003,90,80,91,70,95,81
77,70,72,69,0,2004,60,61,57,51,57,54
78,77,100,21,1,2004,100,45,57,46,41,92
79,75,63,61,0,2003,51,51,51,51,51,51
80,94,90,50,1,2004,92,97,85,62,64,94
81,100,100,100,1,2003,100,100,100,100,100,100
82,76,77,62,0,2003,78,84,81,66,74,75
83,80,80,80,1,2004,100,100,100,100,100,100
84,0,0,9,1,2004,56,58,85,56,55,54
85,100,99,62,1,2003,90,98,95,95,94,95
86,78,65,66,1,2003,75,74,65,59,69,57
87,96,91,94,1,2003,86,89,87,100,86,91
88,76,68,57,1,2003,76,62,61,58,68,58
89,90,90,90,1,2004,90,95,85,90,90,90
90,85,100,70,1,2004,86,100,79,85,85,73
91,75,25,77,0,2003,63,75,42,85,71,81
92,80,85,70,1,2004,75,80,70,60,75,80
93,63,61,37,0,2004,56,40,44,58,58,44
94,0,0,0,1,2003,51,51,51,51,51,51
95,78,76,88,0,2003,66,81,78,74,74,100
96,25,71,55,0,2004,82,63,50,67,52,70
97,62,70,50,1,2003,90,94,70,87,88,87
98,64,100,6,0,2004,87,87,55,100,80,93
99,0,3,0,1,2003,77,96,70,90,80,90
100,77,67,78,1,2004,83,61,41,64,40,57
101,59,63,50,1,2003,74,83,50,64,69,59
102,80,70,44,1,2004,67,88,45,53,52,53
103,100,100,100,1,2004,70,75,70,60,67,58
104,100,100,100,1,2004,100,100,83,100,100,100
105,98,97,98,1,2003,62,61,63,64,65,66
106,91,76,71,1,2003,100,96,100,98,98,95
107,77,86,80,0,2003,84,91,73,73,75,71
108,75,100,85,1,2005,100,100,100,100,97,70
109,64,64,69,0,2004,95,88,90,91,92,92
110,100,100,94,0,2004,100,95,87,100,86,100
111,100,100,80,1,2003,80,90,52,65,70,80
112,55,65,75,1,2004,56,71,62,70,68,78
113,75,90,90,1,2003,90,80,61,70,70,70
114,0,1,0,0,NA,73,74,64,70,87,75
115,75,77,10,1,2003,95,70,70,60,90,100
116,100,100,78,0,2003,60,62,62,62,61,62
117,50,50,76,0,2003,52,100,0,26,48,45
118,92,76,94,0,1108,55,51,51,60,53,64
119,100,100,100,0,2004,68,75,55,72,75,63
120,60,78,26,0,2004,86,50,5,50,100,90
